# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
7450 25.216 -311862 -36.6132 163178 72.8815 72.998 35.4162 120 28.6912 -7.2333 -131.298 544.726 -1865.53 -649.553
7500 24.9993 -311863 9.67399 163192 72.8901 72.9976 35.4154 120 92.7497 -160.461 96.7332 572.36 -2014.41 -428.207
7550 24.8631 -311864 -281.675 163199 72.8975 72.9966 35.4137 120 -375.988 -222.559 -246.477 78.8558 -1802.31 -460.846
7600 24.5772 -311863 148.892 163185 72.8978 72.9941 35.4117 120 -191.373 259.294 378.755 -103.328 -2050.9 -413.054
7650 24.6565 -311864 70.55 163170 72.8915 72.992 35.4126 120 -153.111 -42.0962 406.857 298.936 -1590.22 -615.717
7700 24.4363 -311863 -67.8339 163161 72.8822 72.99 35.4162 120 26.5073 -28.5322 -201.477 326.92 -1795.67 -729.043
7750 24.6849 -311863 74.8822 163159 72.8749 72.9893 35.4196 120 209.725 113.098 -98.1767 131.904 -1614.98 -536.508
7800 25.0449 -311864 -103.883 163174 72.8745 72.9911 35.4222 120 -25.2835 242.954 -529.318 555.338 -1858.63 -436.154
7850 25.1554 -311863 56.3738 163195 72.8775 72.9974 35.4222 120 126.295 265.032 -222.206 351.358 -1903.54 -462.894
7900 25.5459 -311863 -110.164 163200 72.8802 73.0035 35.4189 120 304.48 -435.266 -199.707 235.966 -1626.9 -645.051
7950 25.2955 -311862 115.532 163183 72.8852 73.0028 35.4131 120 238.687 -18.7744 126.683 242.212 -2049.16 -341.747
8000 25.4462 -311862 -273.52 163187 72.8938 73.0021 35.4103 120 -461.282 -399.805 40.5256 191.037 -1969.76 -511.955
8050 25.2384 -311862 -35.7225 163183 72.8958 72.9957 35.4115 120 -310.945 -292.736 496.513 313.922 -1709.65 -541.296
8100 25.1114 -311863 -128.588 163165 72.8918 72.983 35.4157 120 -167.616 19.4283 -237.577 297.816 -1852.83 -339.92
8150 25.033 -311864 147.466 163150 72.8864 72.9737 35.4196 120 16.6733 767.338 -341.614 270.597 -1783.95 -622.537
8200 24.9261 -311864 111.021 163168 72.8829 72.9794 35.4225 120 286.013 99.652 -52.601 295.061 -1955.35 -439.084
8250 24.694 -311864 -329.47 163193 72.8832 72.9898 35.4227 120 -83.1356 -336.922 -568.353 501.444 -1980.31 -340.254
8300 24.4649 -311864 102.511 163178 72.8816 72.9955 35.4175 120 245.132 55.5998 6.80002 513.86 -1833.71 -161.688
8350 24.5973 -311864 -19.0863 163173 72.8822 73.002 35.4129 120 70.5783 -211.122 83.2849 272.049 -1850.03 -433.211
8400 24.8035 -311864 -246.499 163177 72.8826 73.0067 35.4112 120 -301.795 -432.738 -4.9642 480.402 -1605.09 -262.488
8450 25.0413 -311864 104.593 163169 72.8809 73.003 35.4122 120 150.208 0.149727 163.42 323.117 -1714.9 -575.073
8500 25.4024 -311863 178.767 163169 72.8824 72.9962 35.4148 120 325.638 67.2286 143.435 429.041 -1997.68 -563.18
8550 25.4445 -311862 -175.611 163179 72.8856 72.9914 35.4177 120 -10.7356 -193.726 -322.371 318.616 -1874.76 -507.785
8600 25.409 -311862 78.7615 163188 72.8878 72.9873 35.4207 120 84.8897 100.472 50.9231 139.673 -1805.37 -638.51
8650 25.4546 -311862 -130.775 163195 72.8889 72.9855 35.4223 120 -348.775 325.975 -369.525 217.425 -2019.1 -605.075
8700 25.1628 -311863 73.0585 163170 72.8833 72.9874 35.4188 120 -148.912 227.767 140.32 247.919 -1790.29 -419.292
8750 25.1908 -311863 314.253 163151 72.8762 72.9921 35.4159 120 523.334 138.171 281.254 215.094 -1991.32 -500.668
8800 24.7566 -311863 -99.3441 163182 72.8796 72.9987 35.4178 120 32.4871 -304.148 -26.371 446.157 -1884.45 -573.918
8850 24.7954 -311864 -217.822 163202 72.8849 72.9991 35.4193 120 58.271 -248.353 -463.385 304.01 -1745.77 -562.553
8900 24.543 -311864 -51.0672 163178 72.887 72.9934 35.4157 120 -29.0382 -4.1643 -119.999 380.017 -1988.48 -496.958
8950 24.8423 -311865 75.2852 163152 72.8893 72.9873 35.412 120 -69.0689 131.402 163.522 290.632 -1864.05 -307.279
9000 24.6299 -311864 226.77 163156 72.895 72.9854 35.4111 120 -176.152 390.029 466.432 219.852 -1819.05 -541.416
9050 24.9578 -311864 -235.251 163198 72.9006 72.9905 35.415 120 -361.982 -222.638 -121.134 121.905 -1834.45 -506.895
9100 25.3994 -311863 -586.488 163223 72.8984 72.9952 35.4192 120 -551.553 -650.731 -557.181 316.145 -1966.88 -423.813
9150 25.1645 -311862 -34.646 163190 72.8859 72.9932 35.419 120 -71.2991 141.78 -174.419 547.27 -1841.65 -507.879
9200 25.3704 -311863 217.701 163154 72.8739 72.9918 35.4177 120 355.065 413.727 -115.689 189.382 -2043.69 -432.163
9250 25.5011 -311863 -6.88725 163155 72.8724 72.996 35.4166 120 -88.1097 18.9756 48.4724 278.256 -1537.57 -686.238
9300 25.3238 -311862 202.123 163167 72.8734 73.0018 35.4159 120 278.341 -5.66709 333.695 475.26 -1681.01 -209.175
9350 25.2516 -311863 -419.13 163189 72.8773 73.0079 35.416 120 -185.344 -670.571 -401.474 308.119 -1831.82 -437.762
9400 24.8272 -311863 119.486 163183 72.8802 73.0052 35.4145 120 228.288 -139.236 269.406 424.143 -1932.43 -193.57
9450 24.9275 -311864 -130.846 163188 72.8865 72.9999 35.4151 120 -66.9801 -164.903 -160.655 137.831 -1697.82 -676.857
9500 24.618 -311864 -21.0298 163183 72.8922 72.9904 35.4158 120 -93.3063 118.276 -88.0594 292.482 -1921.5 -551.019
9550 24.5504 -311864 133.34 163180 72.8955 72.9828 35.4173 120 -151.465 371.349 180.136 311.8 -1624.14 -727.451
9600 24.7671 -311864 -293.149 163197 72.8962 72.9828 35.4206 120 -255.576 -121.646 -502.224 108.127 -1964.52 -364.705
9650 24.7192 -311864 202.313 163176 72.8903 72.9819 35.4194 120 222.554 620.594 -236.21 163.805 -1846.92 -499.435
9700 25.1321 -311864 130.322 163152 72.8845 72.9857 35.4151 120 94.7896 401.087 -104.909 65.595 -1813.74 -443.749
9750 25.1085 -311863 -27.7312 163163 72.8815 72.9966 35.4136 120 -188.353 -304.911 410.071 456.736 -1754.61 -501.002
